time,relativeAltitude,pressure
2023-08-04 17:51:36-04:00,-4.777761001586914,1008.3600524902344
2023-08-04 17:51:37-04:00,-4.5787445831298825,1008.3362438964843
2023-08-04 17:51:38-04:00,-4.565322036743164,1008.3346301269532
2023-08-04 17:51:39-04:00,-4.158358840942383,1008.2859484863282
2023-08-04 17:51:40-04:00,-3.831350784301758,1008.246826171875
2023-08-04 17:51:41-04:00,-3.41292106628418,1008.1967639160156
2023-08-04 17:51:42-04:00,-3.2771607971191408,1008.180518798828
2023-08-04 17:51:43-04:00,-3.2273802185058598,1008.1745910644532
2023-08-04 17:51:44-04:00,-3.144307174682617,1008.1646533203124
2023-08-04 17:51:45-04:00,-2.890595703125,1008.1342712402344
2023-08-04 17:51:46-04:00,-2.787071685791016,1008.1218896484374
2023-08-04 17:51:47-04:00,-2.3771493530273435,1008.072880859375
2023-08-04 17:51:48-04:00,-1.8841539001464844,1008.013896484375
2023-08-04 17:51:49-04:00,-1.2075733184814452,1007.9329650878906
2023-08-04 17:51:50-04:00,-0.3826558685302734,1007.834306640625
2023-08-04 17:51:51-04:00,0.6612542724609375,1007.709462890625
2023-08-04 17:51:52-04:00,1.6175460815429688,1007.5951196289062
2023-08-04 17:51:53-04:00,2.394903106689453,1007.5021557617188
2023-08-04 17:51:54-04:00,2.891175079345703,1007.4428466796876
2023-08-04 17:51:55-04:00,3.3375603485107423,1007.3894897460938
2023-08-04 17:51:56-04:00,3.316105422973633,1007.3920471191408
2023-08-04 17:51:57-04:00,3.4257070922851565,1007.3789282226562
2023-08-04 17:51:58-04:00,3.6706455993652334,1007.3496337890624
2023-08-04 17:51:59-04:00,3.8262228393554687,1007.3310546875
2023-08-04 17:52:00-04:00,3.878592681884766,1007.3248107910156
2023-08-04 17:52:01-04:00,4.042360610961914,1007.3052136230468
2023-08-04 17:52:02-04:00,4.014352645874023,1007.3085534667968
2023-08-04 17:52:03-04:00,3.881869201660156,1007.3244079589844
2023-08-04 17:52:04-04:00,3.786271667480469,1007.335859375
2023-08-04 17:52:05-04:00,4.9324372863769534,1007.1988342285156
2023-08-04 17:52:06-04:00,3.649613342285156,1007.3521728515624
2023-08-04 17:52:07-04:00,3.269706878662109,1007.3976184082032
2023-08-04 17:52:08-04:00,3.268491516113281,1007.3977368164062
2023-08-04 17:52:09-04:00,3.3987557220458986,1007.3821655273438
2023-08-04 17:52:10-04:00,3.466661834716797,1007.3740551757812
2023-08-04 17:52:11-04:00,3.761434097290039,1007.3388195800782
2023-08-04 17:52:12-04:00,4.125645370483398,1007.2952941894532
2023-08-04 17:52:13-04:00,4.209246826171875,1007.2852673339844
2023-08-04 17:52:14-04:00,4.554591979980469,1007.2439807128908
2023-08-04 17:52:15-04:00,4.902262344360351,1007.2024487304687
2023-08-04 17:52:16-04:00,5.517383804321289,1007.1288928222656
2023-08-04 17:52:17-04:00,5.625981063842773,1007.1159228515623
2023-08-04 17:52:18-04:00,6.026919784545899,1007.0680017089844
2023-08-04 17:52:19-04:00,6.261712188720703,1007.0399291992188
2023-08-04 17:52:20-04:00,6.544858169555664,1007.006085205078
2023-08-04 17:52:21-04:00,6.649545440673828,1006.993585205078
2023-08-04 17:52:22-04:00,7.006939315795899,1006.9508923339844
2023-08-04 17:52:23-04:00,7.207117919921875,1006.9269506835938
2023-08-04 17:52:24-04:00,7.636381607055664,1006.8756506347656
2023-08-04 17:52:25-04:00,7.986007614135742,1006.8338745117188
2023-08-04 17:52:26-04:00,8.521331939697266,1006.7699060058594
2023-08-04 17:52:27-04:00,8.927502365112305,1006.7213940429688
2023-08-04 17:52:28-04:00,9.210807037353517,1006.6875268554688
2023-08-04 17:52:29-04:00,9.275965728759765,1006.6797241210936
2023-08-04 17:52:30-04:00,9.396083221435546,1006.6654028320312
2023-08-04 17:52:31-04:00,9.426099700927734,1006.6618225097656
2023-08-04 17:52:32-04:00,9.468217468261718,1006.6567712402344
2023-08-04 17:52:33-04:00,9.383189086914063,1006.6669543457032
2023-08-04 17:52:34-04:00,9.12250213623047,1006.6980725097656
2023-08-04 17:52:35-04:00,8.950912857055664,1006.7186059570312
2023-08-04 17:52:36-04:00,8.724523315429687,1006.7456201171876
2023-08-04 17:52:37-04:00,8.451946029663086,1006.7782165527344
2023-08-04 17:52:38-04:00,8.325275344848633,1006.7933386230468
2023-08-04 17:52:39-04:00,8.143645782470703,1006.8150549316406
2023-08-04 17:52:40-04:00,7.867369232177734,1006.8480322265624
2023-08-04 17:52:41-04:00,7.7345687103271485,1006.863935546875
2023-08-04 17:52:42-04:00,7.79380844116211,1006.8568530273436
2023-08-04 17:52:43-04:00,7.662434463500976,1006.872528076172
2023-08-04 17:52:44-04:00,7.408247604370117,1006.9029370117188
2023-08-04 17:52:45-04:00,7.271853713989258,1006.9191955566406
2023-08-04 17:52:46-04:00,7.2884471893310545,1006.9172473144532
2023-08-04 17:52:47-04:00,7.295211334228515,1006.916416015625
2023-08-04 17:52:48-04:00,7.289662704467774,1006.9170910644532
2023-08-04 17:52:49-04:00,7.189837646484375,1006.9290185546874
2023-08-04 17:52:50-04:00,7.147349700927735,1006.9340991210936
2023-08-04 17:52:51-04:00,7.187194976806641,1006.929326171875
2023-08-04 17:52:52-04:00,7.153638076782227,1006.9333544921876
2023-08-04 17:52:53-04:00,6.977187271118164,1006.9544079589843
2023-08-04 17:52:54-04:00,6.946589736938477,1006.958094482422
2023-08-04 17:52:55-04:00,6.891789093017578,1006.9646228027344
2023-08-04 17:52:56-04:00,6.748577575683594,1006.9817333984377
2023-08-04 17:52:57-04:00,6.262399444580078,1007.0398608398438
2023-08-04 17:52:58-04:00,5.744566268920899,1007.1017626953123
2023-08-04 17:52:59-04:00,5.218066787719726,1007.1646826171876
2023-08-04 17:53:00-04:00,4.723380661010742,1007.2238012695312
2023-08-04 17:53:01-04:00,4.263783111572265,1007.2787561035155
2023-08-04 17:53:02-04:00,3.82062126159668,1007.3317297363282
2023-08-04 17:53:03-04:00,3.244447021484375,1007.4006042480468
2023-08-04 17:53:04-04:00,2.6769392395019533,1007.4684680175782
2023-08-04 17:53:05-04:00,2.023346252441406,1007.5465844726564
2023-08-04 17:53:06-04:00,1.2549203491210938,1007.638486328125
2023-08-04 17:53:07-04:00,0.6955512237548828,1007.7053686523436
2023-08-04 17:53:08-04:00,0.1694741058349609,1007.7682788085938
2023-08-04 17:53:09-04:00,-0.327907485961914,1007.827762451172
2023-08-04 17:53:10-04:00,-0.5229071807861329,1007.8510754394532
2023-08-04 17:53:11-04:00,-0.3464562225341797,1007.829971923828
2023-08-04 17:53:12-04:00,0.062779312133789,1007.781044921875
2023-08-04 17:53:13-04:00,0.4398317718505859,1007.7359716796876
2023-08-04 17:53:14-04:00,0.93446533203125,1007.676796875
2023-08-04 17:53:15-04:00,1.0663147735595704,1007.6610290527344
2023-08-04 17:53:16-04:00,1.223054428100586,1007.6422912597656
2023-08-04 17:53:17-04:00,1.612684326171875,1007.5957080078124
2023-08-04 17:53:18-04:00,1.9634195709228517,1007.5537548828124
2023-08-04 17:53:19-04:00,2.5711427307128907,1007.481083984375
2023-08-04 17:53:20-04:00,2.5009642028808594,1007.4895056152344
2023-08-04 17:53:21-04:00,2.7781915283203125,1007.456375732422
2023-08-04 17:53:22-04:00,3.106414566040039,1007.4170947265624
2023-08-04 17:53:23-04:00,3.035126419067383,1007.4256396484376
